"scientificName","introduction_status","reportingStatus","infrataxon_status","provincial_concern","provenance_status","solow_EP","phylum"
Glyceria elata,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Glyceria leptostachya,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Glyceria striata,native,reported,non-infrataxon,secure,voucher,0.031,Tracheophyta
Gnaphalium palustre,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Gnaphalium uliginosum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Goodyera oblongifolia,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Graphephorum canescens,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Graphephorum cernuum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Grindelia hirsutula,native,new 2016,non-infrataxon,secure,voucher,0.022,Tracheophyta
Grindelia squarrosa,native,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Grindelia stricta,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Hedera helix,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Hedera hibernica,exotic,new 2022,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Hemitomes congestum,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Hesperis matronalis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Heuchera micrantha var. diversifolia,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Hieracium albiflorum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Hippuris vulgaris,native,new 2017,non-infrataxon,secure,voucher,0.225,Tracheophyta
Holcus lanatus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Holodiscus discolor var. discolor,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Hordeum brachyantherum ssp. brachyantherum,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Hordeum jubatum,native,reported,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Hordeum murinum ssp. leporinum,exotic,reported,infrataxon,unknown,unknown,,Tracheophyta
Hordeum murinum ssp. murinum,exotic,confirmed,infrataxon,unknown,voucher,0,Tracheophyta
Hyacinthoides × massartiana,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Hyacinthoides hispanica,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Hypericum anagalloides,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Hypericum androsaemum,exotic,new 2019,non-infrataxon,unknown,voucher,0,Tracheophyta
Hypericum calycinum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Hypericum perforatum,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Hypochaeris glabra,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.023,Tracheophyta
Hypochaeris radicata,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Idahoa scapigera,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Ilex aquifolium,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Impatiens capensis,exotic,new 2020,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Impatiens glandulifera,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Iris × hybrida,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Iris pseudacorus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Jacobaea vulgaris,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Juncus acuminatus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Juncus arcticus ssp. alaskanus,native,new 2017,infrataxon,secure,no_voucher,0,Tracheophyta
Juncus articulatus,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Juncus balticus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Juncus bolanderi,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Juncus bufonius,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Juncus dudleyi,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Juncus effusus ssp. effusus,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Juncus effusus ssp. pacificus,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Juncus ensifolius,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Juncus hesperius,native,new 2020,non-infrataxon,secure,unknown,,Tracheophyta
Juncus occidentalis,native,new 2022,non-infrataxon,concern,unknown,,Tracheophyta
Juncus oxymeris,native,reported,non-infrataxon,concern,unknown,,Tracheophyta
Juncus pylaei,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Juncus supiniformis,native,reported,non-infrataxon,secure,voucher,0.031,Tracheophyta
Juncus tenuis,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Juniperus maritima,native,new 2016,non-infrataxon,secure,voucher,0,Tracheophyta
Kalmia microphylla var. occidentalis,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Koeleria macrantha,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Kopsiopsis hookeri,native,new 2015,non-infrataxon,secure,voucher,0,Tracheophyta
Laburnum anagyroides,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lactuca serriola,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Lamium galeobdolon,exotic,new 2023,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lamium galeobdolon ssp. argentatum,exotic,new 2022,infrataxon,unknown,unknown,,Tracheophyta
Lamium hybridum,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Lamium purpureum,exotic,new 2015,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lapsana communis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lathyrus japonicus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Lathyrus latifolius,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lathyrus nevadensis var. pilosellus,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Lathyrus sylvestris,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lemna minuta,unknown,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Lemna trisulca,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Lemna turionifera,native,new 2017,non-infrataxon,secure,unknown,,Tracheophyta
Leontodon saxatilis ssp. saxatilis,exotic,new 2016,infrataxon,unknown,no_voucher,0.008,Tracheophyta
Lepidium campestre,exotic,new 2016,non-infrataxon,unknown,no_voucher,0.017,Tracheophyta
Lepidium heterophyllum,exotic,new 2020,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lepidium ramosissimum,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Lepidium virginicum ssp. menziesii,native,confirmed,infrataxon,secure,no_voucher,0.033,Tracheophyta
Leptosiphon minimus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Leucanthemum vulgare,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Leymus mollis ssp. mollis,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Ligustrum vulgare,exotic,new 2020,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Lilium columbianum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Linaria purpurea,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Linnaea borealis ssp. longiflora,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Linum usitatissimum,exotic,new 2022,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Lithophragma glabrum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Lithophragma parviflorum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Lobularia maritima,exotic,new 2018,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Lolium arundinaceum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lolium multiflorum,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Lolium perenne,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lolium pratense,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Lomatium nudicaule,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Lomatium papilioniferum,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Lomatium utriculatum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Lonicera ciliosa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Lonicera hispidula,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Lotus corniculatus,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Ludwigia palustris,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Lunaria annua,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Lupinus arboreus,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Lupinus bicolor,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Lupinus polycarpus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Lupinus polyphyllus var. polyphyllus,native,reported,infrataxon,secure,unknown,,Tracheophyta
Luzula comosa var. laxa,native,confirmed,infrataxon,secure,no_voucher,0.031,Tracheophyta
Luzula macrantha,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Luzula multiflora ssp. multiflora,exotic,confirmed,infrataxon,unknown,no_voucher,0,Tracheophyta
Luzula parviflora,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Luzula subsessilis,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Lycopodium clavatum,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Lycopus americanus,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta
Lycopus europaeus,exotic,new 2022,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Lycopus uniflorus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Lysichiton americanus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Lysimachia arvensis,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Lysimachia europaea ssp. arctica,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Lysimachia latifolia,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Lysimachia maritima,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Lysimachia minima,native,new 2020,non-infrataxon,secure,unknown,,Tracheophyta
Lysimachia thyrsiflora,native,confirmed,non-infrataxon,secure,no_voucher,0.009,Tracheophyta
Lythrum salicaria,exotic,new 2019,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Madia exigua,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Madia glomerata,native,confirmed,non-infrataxon,secure,no_voucher,0.016,Tracheophyta
Madia gracilis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Madia sativa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Maianthemum dilatatum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Maianthemum racemosum ssp. amplexicaule,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Malus domestica,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Malus fusca,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Malva moschata,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Malva neglecta,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Marrubium vulgare,exotic,new 2023,non-infrataxon,unknown,unknown,,Tracheophyta
Matricaria discoidea,exotic,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Meconella oregana,native,confirmed,non-infrataxon,concern,unknown,,Tracheophyta
Medicago arabica,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Medicago lupulina,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Medicago sativa ssp. sativa,exotic,reported,infrataxon,unknown,no_voucher,0.008,Tracheophyta
Melica harfordii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Melica subulata,native,confirmed,non-infrataxon,secure,no_voucher,0.024,Tracheophyta
Melilotus albus,exotic,reported,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Melissa officinalis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Mentha canadensis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Mentha spicata,exotic,new 2017,non-infrataxon,unknown,unknown,,Tracheophyta
Mentha suaveolens,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Menyanthes trifoliata,native,new 2016,non-infrataxon,secure,no_voucher,0,Tracheophyta
Micranthes integrifolia,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Micranthes rufidula,native,new 2018,non-infrataxon,secure,voucher,0.031,Tracheophyta
Microsteris gracilis,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Moehringia macrophylla,native,confirmed,non-infrataxon,secure,no_voucher,0.031,Tracheophyta
Moenchia erecta,exotic,new 2020,non-infrataxon,unknown,unknown,,Tracheophyta
Monotropa hypopitys,native,reported,non-infrataxon,secure,voucher,0,Tracheophyta
Monotropa uniflora,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Montia dichotoma,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Montia fontana,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Montia howellii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Montia linearis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Montia parvifolia,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Muscari armeniacum,exotic,new 2015,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Mycelis muralis,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Myosotis arvensis,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Myosotis discolor,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Myosotis laxa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Myosotis scorpioides,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Myosotis sylvatica,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Myosurus minimus,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Myriophyllum sp.,unknown,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta
Myriophyllum spicatum,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Myrrhis odorata,exotic,new 2023,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Narcissus cf. pseudonarcissus,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Narcissus poeticus,exotic,new 2019,non-infrataxon,unknown,unknown,,Tracheophyta
Nasturtium officinale,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Navarretia squarrosa,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Nemophila parviflora,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Nemophila pedunculata,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Neottia cordata,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Nuphar polysepala,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Nuttallanthus texanus,native,reported,non-infrataxon,concern,unknown,,Tracheophyta
Nymphoides peltata,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Oemleria cerasiformis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Oenanthe pimpinelloides,exotic,new 2020,non-infrataxon,unknown,unknown,,Tracheophyta
Oenanthe sarmentosa,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Oenothera biennis,exotic,new 2018,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Opuntia fragilis,native,new 2013,non-infrataxon,secure,unknown,,Tracheophyta
Origanum vulgare,exotic,new 2020,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Ornithogalum umbellatum,exotic,new 2017,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Osmorhiza berteroi,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Oxalis corniculata,exotic,new 2020,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Panicum capillare,native,new 2019,non-infrataxon,secure,no_voucher,0,Tracheophyta
Papaver somniferum,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Paxistima myrsinites,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Penstemon ovatus,native,new 2016,non-infrataxon,concern,unknown,,Tracheophyta
Pentagramma triangularis ssp. triangularis,native,confirmed,infrataxon,secure,voucher,0,Tracheophyta
Perideridia gairdneri,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Persicaria amphibia,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Persicaria maculosa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Petasites frigidus var. palmatus,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Petasites japonicus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Petrosedum forsterianum,exotic,new 2015,non-infrataxon,unknown,voucher,0,Tracheophyta
Petrosedum rupestre,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Petroselinum crispum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Phacelia linearis,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Phacelia tanacetifolia,native,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Phalaris arundinacea,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Phalaris canariensis,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Philadelphus lewisii,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Phleum pratense,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Phragmites australis ssp. americanus,native,reported,infrataxon,secure,unknown,,Tracheophyta
Phragmites australis ssp. australis,exotic,reported,infrataxon,unknown,unknown,,Tracheophyta
Physocarpus capitatus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Picea sitchensis,native,new 2020,non-infrataxon,secure,voucher,0,Tracheophyta
Pilosella aurantiaca,exotic,new 2016,non-infrataxon,unknown,voucher,0,Tracheophyta
Pinus contorta ssp. contorta,native,new 2015,infrataxon,secure,unknown,,Tracheophyta
Pinus monticola,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Pinus ponderosa var. ponderosa,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Plagiobothrys tenellus,native,reported,non-infrataxon,concern,unknown,,Tracheophyta
Plantago elongata,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Plantago lanceolata,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Plantago macrocarpa,native,new 2023,non-infrataxon,secure,voucher,0,Tracheophyta
Plantago major,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Plantago maritima,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Platanthera elegans,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Platanthera elongata,native,confirmed,non-infrataxon,concern,no_voucher,0,Tracheophyta
Platanthera ephemerantha,native,new 2021,non-infrataxon,concern,unknown,,Tracheophyta
Platanthera transversa,native,new 2015,non-infrataxon,concern,unknown,,Tracheophyta
Platanthera unalascensis,native,confirmed,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Plectritis congesta ssp. brachystemon,native,new 2016,infrataxon,secure,no_voucher,0.016,Tracheophyta
Plectritis congesta ssp. congesta,native,confirmed,infrataxon,secure,no_voucher,0.016,Tracheophyta
Plectritis macrocera,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Poa annua,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Poa bulbosa,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Poa compressa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.016,Tracheophyta
Poa howellii,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Poa infirma,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Poa nemoralis,exotic,reported,non-infrataxon,unknown,voucher,0.071,Tracheophyta
Poa palustris,native,new 2022,non-infrataxon,secure,no_voucher,0,Tracheophyta
Poa pratensis,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Poa secunda,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Poa trivialis,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Polygonum aviculare,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Polygonum douglasii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Polygonum fowleri,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Polygonum spergulariiforme,native,new 2018,non-infrataxon,secure,voucher,0,Tracheophyta
Polypodium glycyrrhiza,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Polypogon monspeliensis,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Polystichum munitum,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Populus nigra,exotic,new 2017,non-infrataxon,unknown,unknown,,Tracheophyta
Populus tremuloides,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Populus trichocarpa,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Potamogeton amplifolius,native,new 2016,non-infrataxon,secure,unknown,,Tracheophyta
Potamogeton berchtoldii,native,confirmed,non-infrataxon,secure,voucher,0.031,Tracheophyta
Potamogeton gramineus,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Potamogeton natans,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Potamogeton pusillus,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Potentilla norvegica,native,reported,non-infrataxon,secure,no_voucher,0,Tracheophyta
Potentilla recta,exotic,new 2020,non-infrataxon,unknown,no_voucher,0.031,Tracheophyta
Primula hendersonii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Primula pauciflora var. pauciflora,native,reported,infrataxon,secure,no_voucher,0.024,Tracheophyta
Prunella vulgaris var. vulgaris,exotic,confirmed,infrataxon,unknown,unknown,,Tracheophyta
Prunus × pugetensis,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Prunus avium,exotic,new 2016,non-infrataxon,unknown,voucher,0,Tracheophyta
Prunus cerasifera,exotic,new 2015,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Prunus emarginata,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Prunus laurocerasus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Prunus virginiana,native,new 2017,non-infrataxon,secure,no_voucher,0,Tracheophyta
Pseudognaphalium stramineum,native,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Pseudognaphalium thermale,native,new 2016,non-infrataxon,secure,voucher,0,Tracheophyta
Pseudotsuga menziesii var. menziesii,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Psilocarphus tenellus,native,new 2022,non-infrataxon,secure,unknown,,Tracheophyta
Pteridium aquilinum ssp. pubescens,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Pterospora andromedea,native,new 2021,non-infrataxon,secure,no_voucher,0.008,Tracheophyta
Puccinellia nutkaensis,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Puccinellia nuttalliana,native,reported,non-infrataxon,secure,unknown,,Tracheophyta
Puccinellia pumila,native,reported,non-infrataxon,secure,voucher,0.046,Tracheophyta
Pyrola aphylla,native,new 2018,non-infrataxon,concern,no_voucher,0.008,Tracheophyta
Pyrola asarifolia,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Pyrola picta,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Pyrus communis,exotic,new 2016,non-infrataxon,unknown,no_voucher,0.008,Tracheophyta
Quercus garryana var. garryana,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Ranunculus acris,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Ranunculus aquatilis,native,reported,non-infrataxon,secure,voucher,0.031,Tracheophyta
Ranunculus flammula,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Ranunculus occidentalis var. occidentalis,native,confirmed,infrataxon,secure,unknown,,Tracheophyta
Ranunculus parviflorus,exotic,new 2022,non-infrataxon,unknown,unknown,,Tracheophyta
Ranunculus repens,exotic,confirmed,non-infrataxon,unknown,voucher,0,Tracheophyta
Ranunculus sardous,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Ranunculus uncinatus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Raphanus raphanistrum,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Raphanus sativus,exotic,confirmed,non-infrataxon,unknown,unknown,,Tracheophyta
Reynoutria japonica,exotic,new 2016,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rhamphospermum arvense,exotic,reported,non-infrataxon,unknown,unknown,,Tracheophyta
Rhinanthus minor,native,reported,non-infrataxon,secure,no_voucher,0.016,Tracheophyta
Rhododendron groenlandicum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rhynchospora alba,native,confirmed,non-infrataxon,secure,no_voucher,0.023,Tracheophyta
Ribes bracteosum,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Ribes divaricatum var. divaricatum,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Ribes lacustre,native,new 2017,non-infrataxon,secure,voucher,0,Tracheophyta
Ribes lobbii,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Ribes rubrum,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta
Ribes sanguineum,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Robinia pseudoacacia,exotic,new 2017,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rorippa palustris ssp. palustris,native,reported,infrataxon,secure,unknown,,Tracheophyta
Rosa canina,exotic,new 2018,non-infrataxon,unknown,unknown,,Tracheophyta
Rosa gymnocarpa,native,confirmed,non-infrataxon,secure,unknown,,Tracheophyta
Rosa nutkana ssp. nutkana,native,confirmed,infrataxon,secure,no_voucher,0,Tracheophyta
Rosa rubiginosa,exotic,confirmed,non-infrataxon,unknown,no_voucher,0.023,Tracheophyta
Rubus bifrons,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rubus laciniatus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rubus leucodermis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rubus parviflorus,native,confirmed,non-infrataxon,secure,voucher,0,Tracheophyta
Rubus spectabilis,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rubus ursinus,native,confirmed,non-infrataxon,secure,no_voucher,0,Tracheophyta
Rumex acetosella,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
Rumex conglomeratus,exotic,confirmed,non-infrataxon,unknown,no_voucher,0,Tracheophyta
